scenario,opponent,opponent_class,strategy,family,agent_first,runs,advantage,concealing,score
ISBTAcquisition,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,slow concession (Boulware),time-based,second,1,0.5121951219512194,1.0,1.5121951219512195
ISBTAcquisition,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,fast concession,time-based,first,1,0.5228758169934641,1.0,1.522875816993464
ISBTAcquisition,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,fast concession,time-based,second,1,0.5121951219512194,1.0,1.5121951219512195
ISBTAcquisition,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,linear time concession,time-based,first,1,0.5359477124183007,1.0,1.5359477124183007
ISBTAcquisition,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,linear time concession,time-based,second,1,0.5121951219512194,1.0,1.5121951219512195
ISBTAcquisition,ToughNegotiator,negmas.sao.ToughNegotiator,"hard line, slow give",time-based,first,1,0.33986928104575165,1.0,1.3398692810457518
ISBTAcquisition,ToughNegotiator,negmas.sao.ToughNegotiator,"hard line, slow give",time-based,second,1,0.5121951219512194,1.0,1.5121951219512195
ISBTAcquisition,MiCRONegotiator,negmas.sao.MiCRONegotiator,MiCRO (Genius-style),genius-style,first,1,0.5032679738562091,1.0,1.5032679738562091
ISBTAcquisition,MiCRONegotiator,negmas.sao.MiCRONegotiator,MiCRO (Genius-style),genius-style,second,1,0.5121951219512194,1.0,1.5121951219512195
Laptop,SimpleNegotiator,examples.simple.SimpleNegotiator,reverse-ufun + time concede,example,first,1,0.5775524426410947,0.6844358410163034,1.2619882836573981
Laptop,SimpleNegotiator,examples.simple.SimpleNegotiator,reverse-ufun + time concede,example,second,1,0.5136317604069089,0.6932670477187611,1.2068988081256702
Laptop,BOANeg,examples.boa.BOANeg,BOA: time offer + Smith + ACNext,example,first,1,0.5775524426410947,0.5936450920748514,1.171197534715946
Laptop,BOANeg,examples.boa.BOANeg,BOA: time offer + Smith + ACNext,example,second,1,0.5136317604069089,0.5722575571988916,1.0858893176058007
Laptop,MAPNeg,examples.map.MAPNeg,"MAP: same stack, acceptance_first",example,first,1,0.5775524426410947,0.5936450920748514,1.171197534715946
Laptop,MAPNeg,examples.map.MAPNeg,"MAP: same stack, acceptance_first",example,second,1,0.5136317604069089,0.5534177546812092,1.0670495150881183
Laptop,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,slow concession (Boulware),time-based,first,1,0.5775524426410947,0.0,0.5775524426410947
Laptop,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,slow concession (Boulware),time-based,second,1,0.5136317604069089,1.0,1.513631760406909
Laptop,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,fast concession,time-based,first,1,0.6808563443161951,1.0,1.680856344316195
Laptop,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,fast concession,time-based,second,1,0.7670022323030451,1.0,1.767002232303045
Laptop,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,linear time concession,time-based,first,1,0.5775524426410947,1.0,1.5775524426410947
Laptop,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,linear time concession,time-based,second,1,0.5136317604069089,1.0,1.513631760406909
Laptop,ToughNegotiator,negmas.sao.ToughNegotiator,"hard line, slow give",time-based,first,1,0.5775524426410947,0.0,0.5775524426410947
Laptop,ToughNegotiator,negmas.sao.ToughNegotiator,"hard line, slow give",time-based,second,1,0.5136317604069089,1.0,1.513631760406909
Laptop,MiCRONegotiator,negmas.sao.MiCRONegotiator,MiCRO (Genius-style),genius-style,first,1,0.5775524426410947,0.0,0.5775524426410947
