panel,agent,scenario,opponent,role,advantage,concealing,score
stress,v4.2,NiceOrDie,LinearTBNegotiator,first,0.1654761904761905,1.0,1.1654761904761906
stress,v4.2,NiceOrDie,LinearTBNegotiator,second,0.1654761904761905,1.0,1.1654761904761906
stress,v4.2,NiceOrDie,ToughNegotiator,first,0.0,1.0,1.0
stress,v4.2,NiceOrDie,ToughNegotiator,second,0.0,1.0,1.0
stress,v4.2,NiceOrDie,TimeBasedNegotiator,first,0.0,1.0,1.0
stress,v4.2,NiceOrDie,TimeBasedNegotiator,second,0.0,1.0,1.0
stress,v4.2,NiceOrDie,AspirationNegotiator,first,0.0,1.0,1.0
stress,v4.2,NiceOrDie,AspirationNegotiator,second,0.0,1.0,1.0
stress,v4.2,NiceOrDie,HybridNegotiator,first,0.0,1.0,1.0
stress,v4.2,NiceOrDie,HybridNegotiator,second,0.0,1.0,1.0
stress,v4.2,NiceOrDie,RandomNegotiator,first,0.4436507936507937,1.0,1.4436507936507936
stress,v4.2,NiceOrDie,RandomNegotiator,second,1.0,1.0,2.0
stress,v4.2,NiceOrDie,NaiveTitForTatNegotiator,first,0.1654761904761905,0.47595917942265425,0.6414353698988446
stress,v4.2,NiceOrDie,NaiveTitForTatNegotiator,second,0.1654761904761905,0.47595917942265425,0.6414353698988446
stress,v4.2,NiceOrDie,SimpleTitForTatNegotiator,first,0.1654761904761905,0.47595917942265425,0.6414353698988446
stress,v4.2,NiceOrDie,SimpleTitForTatNegotiator,second,0.1654761904761905,0.47595917942265425,0.6414353698988446
stress,v4.2,NiceOrDie,FirstOfferOrientedTBNegotiator,first,0.0,1.0,1.0
stress,v4.2,NiceOrDie,FirstOfferOrientedTBNegotiator,second,0.0,1.0,1.0
stress,v4.2,NiceOrDie,LastOfferOrientedTBNegotiator,first,0.0,1.0,1.0
stress,v4.2,NiceOrDie,LastOfferOrientedTBNegotiator,second,0.0,1.0,1.0
stress,v4.3,Amsterdam,BoulwareTBNegotiator,first,0.681536555142503,1.0,1.681536555142503
stress,v4.3,Amsterdam,BoulwareTBNegotiator,second,0.6198630136986301,1.0,1.61986301369863
stress,v4.3,Amsterdam,ConcederTBNegotiator,first,0.7546468401486989,1.0,1.754646840148699
stress,v4.3,Amsterdam,ConcederTBNegotiator,second,0.6449771689497716,1.0,1.6449771689497716
stress,v4.3,Amsterdam,LinearTBNegotiator,first,0.5241635687732341,1.0,1.5241635687732344
stress,v4.3,Amsterdam,LinearTBNegotiator,second,0.5924657534246575,1.0,1.5924657534246573
stress,v4.3,Amsterdam,ToughNegotiator,first,0.30855018587360594,1.0,1.308550185873606
stress,v4.3,Amsterdam,ToughNegotiator,second,0.47260273972602734,1.0,1.4726027397260273
stress,v4.3,Amsterdam,TimeBasedNegotiator,first,0.7100371747211897,1.0,1.7100371747211895
stress,v4.3,Amsterdam,TimeBasedNegotiator,second,0.6198630136986301,1.0,1.61986301369863
stress,v4.3,Amsterdam,AspirationNegotiator,first,0.7100371747211897,1.0,1.7100371747211895
stress,v4.3,Amsterdam,AspirationNegotiator,second,0.6586757990867579,1.0,1.658675799086758
stress,v4.3,Amsterdam,HybridNegotiator,first,0.5824039653035934,1.0,1.5824039653035935
stress,v4.3,Amsterdam,HybridNegotiator,second,0.6746575342465754,1.0,1.674657534246575
stress,v4.3,Amsterdam,RandomNegotiator,first,0.3977695167286246,0.6666666666666666,1.0644361833952913
stress,v4.3,Amsterdam,RandomNegotiator,second,0.6232876712328766,1.0,1.6232876712328768
stress,v4.3,Amsterdam,NaiveTitForTatNegotiator,first,0.5266418835192069,0.550022068671182,1.076663952190389
stress,v4.3,Amsterdam,NaiveTitForTatNegotiator,second,0.5468036529680365,0.5639797596890225,1.110783412657059
stress,v4.3,Amsterdam,SimpleTitForTatNegotiator,first,0.5935563816604708,0.5444628761893043,1.1380192578497752
stress,v4.3,Amsterdam,SimpleTitForTatNegotiator,second,0.6484018264840182,0.5621204998569818,1.2105223263409999
stress,v4.3,Amsterdam,FirstOfferOrientedTBNegotiator,first,0.6877323420074349,1.0,1.687732342007435
stress,v4.3,Amsterdam,FirstOfferOrientedTBNegotiator,second,0.6198630136986301,1.0,1.61986301369863
stress,v4.3,Amsterdam,LastOfferOrientedTBNegotiator,first,0.7100371747211897,1.0,1.7100371747211895
stress,v4.3,Amsterdam,LastOfferOrientedTBNegotiator,second,0.6198630136986301,1.0,1.61986301369863
stress,v4.3,Camera,BoulwareTBNegotiator,first,0.5910901643943219,1.0,1.5910901643943218
stress,v4.3,Camera,BoulwareTBNegotiator,second,0.5976839123552447,1.0,1.5976839123552447
stress,v4.3,Camera,ConcederTBNegotiator,first,0.8845312236997138,1.0,1.8845312236997138
stress,v4.3,Camera,ConcederTBNegotiator,second,0.6543364158960261,1.0,1.654336415896026
stress,v4.3,Camera,LinearTBNegotiator,first,0.6241373506143746,1.0,1.6241373506143748
stress,v4.3,Camera,LinearTBNegotiator,second,0.5988502874281431,1.0,1.5988502874281432
stress,v4.3,Camera,ToughNegotiator,first,0.26931493014644,1.0,1.26931493014644
stress,v4.3,Camera,ToughNegotiator,second,0.4558860284928768,1.0,1.4558860284928767
stress,v4.3,Camera,TimeBasedNegotiator,first,0.6204342703248611,1.0,1.6204342703248613
stress,v4.3,Camera,TimeBasedNegotiator,second,0.6210114138132136,1.0,1.6210114138132135
stress,v4.3,Camera,AspirationNegotiator,first,0.5975425012624137,1.0,1.5975425012624136
stress,v4.3,Camera,AspirationNegotiator,second,0.5988502874281431,1.0,1.5988502874281432
stress,v4.3,Camera,HybridNegotiator,first,0.610559389552825,1.0,1.610559389552825
stress,v4.3,Camera,HybridNegotiator,second,0.6295092893443307,1.0,1.6295092893443306
stress,v4.3,Camera,RandomNegotiator,first,0.5674690007293945,1.0,1.5674690007293945
stress,v4.3,Camera,RandomNegotiator,second,0.6381737898858618,1.0,1.6381737898858617
stress,v4.3,Camera,NaiveTitForTatNegotiator,first,0.47994164843180154,0.6171086989161747,1.0970503473479762
stress,v4.3,Camera,NaiveTitForTatNegotiator,second,0.5398650337415646,0.616430571021758,1.1562956047633226
stress,v4.3,Camera,SimpleTitForTatNegotiator,first,0.4848790888178196,0.618408820608097,1.1032879094259165
stress,v4.3,Camera,SimpleTitForTatNegotiator,second,0.5301174706323419,0.6159525919407716,1.1460700625731135
stress,v4.3,Camera,FirstOfferOrientedTBNegotiator,first,0.6204342703248611,1.0,1.6204342703248613
stress,v4.3,Camera,FirstOfferOrientedTBNegotiator,second,0.6285095392818464,1.0,1.6285095392818463
