agent_mode,panel,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
v4.2,stress,baseline,Car,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,second,2,0.7440000000000001,1.0,1.7440000000000002
v4.2,stress,baseline,Car,RandomNegotiator,negmas.sao.RandomNegotiator,baseline,first,2,0.0,0.5,0.5
v4.2,stress,baseline,Car,RandomNegotiator,negmas.sao.RandomNegotiator,baseline,second,2,0.7578,1.0,1.7578
v4.2,stress,baseline,Car,NaiveTitForTatNegotiator,negmas.sao.NaiveTitForTatNegotiator,behavioral,first,2,0.5472,0.48566529047784424,1.0328652904778441
v4.2,stress,baseline,Car,NaiveTitForTatNegotiator,negmas.sao.NaiveTitForTatNegotiator,behavioral,second,2,0.8888,0.4919636673487162,1.3807636673487163
v4.2,stress,baseline,Car,SimpleTitForTatNegotiator,negmas.sao.SimpleTitForTatNegotiator,behavioral,first,2,0.7644,0.48566529047784424,1.2500652904778442
v4.2,stress,baseline,Car,SimpleTitForTatNegotiator,negmas.sao.SimpleTitForTatNegotiator,behavioral,second,2,0.7663000000000001,0.4919636673487162,1.2582636673487162
v4.2,stress,baseline,Car,FirstOfferOrientedTBNegotiator,negmas.sao.FirstOfferOrientedTBNegotiator,oriented,first,2,0.8519000000000001,1.0,1.8519
v4.2,stress,baseline,Car,FirstOfferOrientedTBNegotiator,negmas.sao.FirstOfferOrientedTBNegotiator,oriented,second,2,0.7698,1.0,1.7698
v4.2,stress,baseline,Car,LastOfferOrientedTBNegotiator,negmas.sao.LastOfferOrientedTBNegotiator,oriented,first,2,0.8519000000000001,1.0,1.8519
v4.2,stress,baseline,Car,LastOfferOrientedTBNegotiator,negmas.sao.LastOfferOrientedTBNegotiator,oriented,second,2,0.8616000000000001,1.0,1.8616000000000001
v4.2,stress,baseline,Grocery,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,time-based,first,2,0.6138888888888889,1.0,1.613888888888889
v4.2,stress,baseline,Grocery,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,time-based,second,2,0.7500000000000001,1.0,1.75
v4.2,stress,baseline,Grocery,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,time-based,first,2,0.5527777777777778,0.5,1.0527777777777778
v4.2,stress,baseline,Grocery,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,time-based,second,2,0.638888888888889,1.0,1.6388888888888888
v4.2,stress,baseline,Grocery,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,time-based,first,2,0.6055555555555556,1.0,1.6055555555555556
v4.2,stress,baseline,Grocery,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,time-based,second,2,0.7500000000000001,1.0,1.75
v4.2,stress,baseline,Grocery,ToughNegotiator,negmas.sao.ToughNegotiator,time-based,first,2,0.38888888888888895,1.0,1.3888888888888888
v4.2,stress,baseline,Grocery,ToughNegotiator,negmas.sao.ToughNegotiator,time-based,second,2,0.47222222222222227,1.0,1.4722222222222223
v4.2,stress,baseline,Grocery,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,first,2,0.638888888888889,1.0,1.6388888888888888
v4.2,stress,baseline,Grocery,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,second,2,0.7500000000000001,1.0,1.75
v4.2,stress,baseline,Grocery,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,first,2,0.588888888888889,1.0,1.588888888888889
v4.2,stress,baseline,Grocery,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,second,2,0.7500000000000001,1.0,1.75
v4.2,stress,baseline,Grocery,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,first,2,0.44444444444444453,1.0,1.4444444444444446
v4.2,stress,baseline,Grocery,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,second,2,0.6361111111111112,1.0,1.636111111111111
v4.2,stress,baseline,Grocery,RandomNegotiator,negmas.sao.RandomNegotiator,baseline,first,2,0.5583333333333335,1.0,1.5583333333333336
v4.2,stress,baseline,Grocery,RandomNegotiator,negmas.sao.RandomNegotiator,baseline,second,2,0.675,1.0,1.675
v4.2,stress,baseline,Grocery,NaiveTitForTatNegotiator,negmas.sao.NaiveTitForTatNegotiator,behavioral,first,2,0.5416666666666667,0.6278641938473803,1.169530860514047
v4.2,stress,baseline,Grocery,NaiveTitForTatNegotiator,negmas.sao.NaiveTitForTatNegotiator,behavioral,second,2,0.5611111111111111,0.6256962103383059,1.186807321449417
v4.2,stress,baseline,Grocery,SimpleTitForTatNegotiator,negmas.sao.SimpleTitForTatNegotiator,behavioral,first,2,0.5194444444444446,0.6310334495845635,1.1504778940290081
v4.2,stress,baseline,Grocery,SimpleTitForTatNegotiator,negmas.sao.SimpleTitForTatNegotiator,behavioral,second,2,0.5694444444444444,0.6400411298479156,1.2094855742923603
v4.2,stress,baseline,Grocery,FirstOfferOrientedTBNegotiator,negmas.sao.FirstOfferOrientedTBNegotiator,oriented,first,2,0.6472222222222224,1.0,1.6472222222222224
